name,acronym,description.label_fr,link,contact_type.label_fr,contact,dataset_type.label_fr,environment.label_fr,nature.label_fr,subthematic.label_fr,measurement_data,exposure_factor.label_fr,exposure_factor_category.label_fr,thematic_category.label_fr,has_restrictions,has_pricing,has_compliance,license_name.label_fr,license_type.label_fr,is_opendata,files_format.label_fr,other_acess_point,data_domain.label_fr,related_references,automatic_update,broadcast_mode.label_fr,downloadable,has_documentation,has_filter,has_missing_data,has_search_engine,temporal_scale.label_fr,update_frequency.label_fr,volume,year,year_start,year_end,is_geospatial_data,geographical_information_level,projection_system.label_fr,related_geographical_references,administrative_territory_coverage,geospatial_geographical_coverage
Inventaire de la nature des sols et de leur distribution spatiale,Donesol IGCS,"Le programme IGCS (Inventaire, Gestion et conservation des sols) vise à identifier, définir et localiser les principaux types de sols d'une région ou d'un territoire, et à caractériser leurs propriétés présentant un intérêt pour l'agriculture et pour l'environnement. Les informations produites sont stockées dans la base de données nationale DONESOL.",,,"[""infosol@orleans.inra.fr""]",,Sols,,Inventaire et cartographie des sols ,,,Polluants des sols ,,,true,true,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,,,1992 - en cours,1992,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Quadrige 2,,"Paramètres physiques, chimiques et biologiques de description de l'environnement du littoral français, Plus de 1500 paramètres en base en 2018. Paramètres suivis : Contaminants chimiquesHydrologiePhytoplanctonBenthos de substrats meublesBenthos de substrat dur - CorailBenthos de substrat dur - Poisson",,,"[""Ifremer""]",,Eaux,,Qualité des eaux littorales ,,,Polluants de l'eau,,,false,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Régulière,,1974 - en cours,1974,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Occupation du sol à grande échelle,OCS GE,"Visualisation des zones de prairie, taux d’imperméabilité du sol, en France métropolitaine et dans les départements et régions d’outre-mer (DROM). Version de 2015 et de résolution 20 mètres.",,,"[""contact.geoservices@ign.fr""]",,Sols,,Occupation des sols,,,Polluants du sol/pesticides,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,true,true,,Irrégulière,,,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cartes des sols métropolitains,,Représentation des différents types de sols dominants en France métropolitaine.,,,"[""GIS Sol / RMT""]",,Sols,,Occupation des sols,,,Polluants du sol,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Délimitations parcellaires AOC viticoles (INAO),,Représentation des délimitations parcellaires des appellations d’origine contrôlée (AOC) viticoles sur la France métropolitaine.,,,"[""inao-bddc@inao.gouv.fr""]",,Sols,,Délimitations des parcelles viticoles,,,Pesticides/biocide/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,true,true,,Irrégulière,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Adresses,,Localisation des adresses sur tout le territoire national.,,,"[""sav.bd@ign.fr""]",,Sols,,Adresses,,,Indicateurs socio-démographiques,,,false,true,Licence Ouverte Etalab,Attribution,,,,Référentiel,,false,,,true,true,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Contours IRIS,,Contours géométriques des zones définies par l’INSEE pour les besoins des recensements sur l’ensemble des communes de plus de 10 000 habitants et la plupart des communes de 5 000 à 10 000 habitants.,,,"[""sav.bd@ign.fr""]",,Sols,,Contours géométriques des IRIS,,,Indicateurs socio-démographiques,,,false,true,Licence Ouverte Etalab,Attribution,,,,Référentiel,,,,,true,true,false,true,,Annuelle,,2014 - 2020,2014,2020,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Limites administratives,ADMIN EXPRESS,"Limites administratives des collectivités territoriales, mises à jour en continu.Régions, départements, cantons, communes, arrondissements (pour Paris, Lyon et Marseille) et établissements publics de coopération intercommunale (EPCI).",,,"[""sav.bd@ign.fr""]",,Sols,,Limites administratives,,,Indicateurs socio-démographiques,,,false,true,Licence Ouverte Etalab,Attribution,,,,Référentiel,,false,,,false,true,false,true,,Mensuelle,,2017 - en cours,2017,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Carte IGN,BD Carto,Fond cartographique proposé par l’Institut national de l’information géographique et forestière (IGN).,,,"[""sav.bd@ign.fr""]",,Sols,,Fond cartographique,,,Indicateurs socio-démographiques,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,Non renseigné,,,true,"[{""label_fr"":""FRA+MAF+BLM"",""label_en"":""FRA+MAF+BLM""}]",,,,FRA+MAF+BLM
Carte topographique IGN,BD Topo,"La carte topographique représente avec précision le relief, symbolisé par des courbes de niveaux, ainsi que les détails du terrain : routes, sentiers, constructions, bois, arbres isolé, rivières, sources…",,,"[""sav.bd@ign.fr""]",,Sols,,Carte des reliefs,,,Indicateurs socio-démographiques,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,Non renseigné,,,true,"[{""label_fr"":""FRA+MAF+BLM+SPM"",""label_en"":""FRA+MAF+BLM+SPM""}]",,,,FRA+MAF+BLM+SPM
Plan d’exposition au bruit,PEB,Le PEB est un document graphique à l’échelle du 1/25000ème qui délimite quatre zones de gêne quantifiée par l’indice Level day evening night (Lden).,,,"[""""]",,,Agents Physiques,Bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,false,,,false,false,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
BD Ortho,,,,,"[""""]",,,,,,,Pesticides/biocides/NDVI,,,false,false,,,,,,,,,,,false,false,false,false,,,,,,,false,,,,,
Plan IGN,,,,,"[""""]",,,,,,,,,,false,false,,,,,,,,,,,false,false,false,false,,,,,,,false,,,,,
Observatoire national de Mesure et d’Evaluation en zone Rurale de la pollution Atmosphérique à longue distance,MERA,"Dépôts atmosphériques (composés inorganiques majeurs, métaux lourds, HAP), les composés gazeux (O3, NO2, Composés Organiques Volatils) et particulaires (gravimétrie des PM10 et PM2,5, métaux lourds et HAP dans les PM10, spéciation des PM2,5) et les paramètres météorologique",,,"[""stephane.sauvage@mines-douai.fr""]",,Air,,Qualité de l’air : pollution atmosphérique ,,,Polluants de l’air,,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Annuelle,,1990 - en cours,1990,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Inventaire National Spatialisé des émissions atmosphériques,INS,"Acidification, eutrophisation, effet de serre, ETM, POP, HAP, Poussières. Classés par catégorie. Au total 641 substances.",,,"[""INERIS""]",,Air,,"Emissions atmosphériques des secteurs de l'industrie, du transport, tertiaire et agricole ",,,Polluants de l'air,,,false,false,Non renseigné,,,,,Environnement,,,,,true,true,false,true,,Régulière,,"2004 , 2007 , 2012",2004,2012,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Surveillance de la qualité de l'air dans les établissements recevant du public,INTAIRIEU R,"Description générale de l'établissement (type de construction, ventilation,...), prélèvements et résultats d'analyse correspondants sur les substances visées par le décret du 05 janvier 2012",,,"[""INERIS""]",,Air,,Qualité de l'air dans les établissements recevant du public ,,,Polluants de l'air intérieur,,,false,false,Non renseigné,,,,,Environnement,,,,,true,true,false,true,,6M/Y7,,2014 - en cours,2014,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Atlas régionaux des inégalités environnementales,PLAINE,"Construction des cartes environnementales et d’exposition des atlas régionaux réalisées pour quatre Eléments Traces Métalliques (ETM) (Cd, Cr, Ni, Pb) et HAP",,,"[""INERIS""]",,Sols,,Indicateurs d'exposition spatialisés agrégés et combinés ,,,,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2009 - en cours,2009,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
PREV'AIR,,"Système opérationel de prévision de la qualité de l'air. Modélisation des concentrations d'ozone, NO2, PM10, PM2.5, en moyenne journalière et en pics horaires sur l'Europe et la France",,,"[""prevair@ineris.fr""]",,Air,,Qualité de l'air,,,Polluants de l'air,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,false,false,true,,Quotidienne,,02/2021 - 03/2021,2021,2021,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Xenair,,"The XENAIR project will investigate the association of breast cancer risk (overall and by hormone receptor status) with chronic exposure to selected air pollutants, including particulate matter, nitrogen dioxide (NO2), ozone (O3), BaP, dioxins, PCB-153, and cadmium. Une convention a été élaborée par ATMO France avec le Centre de recherche Léon Bérard afin de valoriser les données issues de Gazel Air dans le cadre du projet Xenair, financé par la Fondation ARC pour la recherche sur le cancer.",,,"[""""]",,Air,,Qualité de l’air : pollution atmosphérique ,,,Polluants de l'air,,,true,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,Non renseigné,,,true,"[{""label_fr"":"""",""label_en"":""""}]",,,,
Mimausa,,"Localisation des sites miniers, données disponibles sur les sites miniers (fiches de synthèse, fiches détaillées)",,,"[""IRSN""]",,Sols,,Anciens sites miniers français d'uranium ,,,Pollutions du sol,,,false,true,Non renseigné,,,,,Environnement,,,,,true,true,false,true,,Régulière,,2003 - en cours,2003,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Hydrotéléray,,Mesure en continu dans les eaux usées,,,"[""IRSN""]",,,Agents Physiques,Radioactivité,,,Radioactivité,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Mensuelle,,1991 - en cours,1991,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Téléray,,Rayonnement gamma dans l'air ambiant,,,"[""IRSN""]",,,Agents Physiques,Rayonnements ionisants,,,Radioactivité,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Temps réel,,1993 - en cours,1993,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cartographie du potentiel radon des formations géologiques,,Cartographie des zones sur lesquelles la présence de radon à des concentrations élevées dans les bâtiments est la plus probable.,,,"[""IRSN""]",,,Agents Physiques,Radon émis par les formations géologiques,,,Radioactivité,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2008 - en cours,2008,,true,"[{""label_fr"":""FRA+SPM+BLM+MAF+WLF+PYF+NCL"",""label_en"":""FRA+SPM+BLM+MAF+WLF+PYF+NCL""}]",,,,FRA+SPM+BLM+MAF+WLF+PYF+NCL
Données SYNOP,,"Données d'observations issues des messages en code synoptique international d’observation en surface (SYNOP) circulant sur le système mondial de télécommunication (SMT) de l’Organisation météorologique mondiale (OMM). Paramètres atmosphériques mesurés (température, humidité, direction et force du vent, pression atmosphérique, hauteur de précipitations) ou observés  (temps sensible, description des nuages, visibilité) depuis la surface terrestre. Selon instrumentation et spécificités locales, d'autres paramètres peuvent être disponibles (hauteur de neige, état du sol, etc.)",,,"[""Virginie Schwartz""]",,Air,,Météorologie,,,Facteurs météorologiques/polluants de l'air,,,true,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Temps réel,,en cours,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Données horaires,,"Données climatologiques de toutes les stations françaises depuis leur ouverture, pour tous les paramètres disponibles. Ces données ont subi un contrôle climatologique. L'accès à toute la profondeur de la base de données est possible, avec une très vaste gamme de paramétrisation.",,,"[""Virginie Schwartz""]",,Air,,Climatologie,,,Facteurs météorologiques,,,true,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Temps réel,,en cours,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Modèle global de chimie atmosphérique et de transport,,"Résultats du modèle francais de prévision de composition chimique et de transports atmosphériques (MOCAGE Qualité de l'Air) sous forme de champs de prévisions en points de grille pour 120 espèces gazeuses (Ozone, CO, CO2, U.V. etc.) et 4 aérosols (carbonés, désertiques, anthropiques et marins). Paramètres, niveaux, échéances et domaines paramétrables selon diverses résolutions et échéances de 12 h à 108 h par pas de 1h, 3h ou 6h sur le monde (forçage par un modéle global), ou la France (forçage par un modéle à aire limité)",,,"[""Virginie Schwartz""]",,Air,,Prévision de la chimie atmosphérique et transport,,,Polluants de la intérieur,,,true,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Quotidienne,,en cours,,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Données de modèle de prévision d'ensemble ARPEGE,,"Champs de prévision en points de grille régulière sur différents domaines géographiques issus du modèle de prévision atmosphérique global français Arpege. Données probabilistes constituées de l'ensemble des 35 runs de prévision déterministe à courte échéance. Paramètres, niveaux, échéances et sous-domaines paramétrables selon diverses résolutions et échéances jusqu'à H+108 h maximum par pas de 3 ou 6 h selon le domaine géographique",,,"[""Virginie Schwartz""]",,Air,,Prévision atmosphérique,,,Facteurs météorologiques/polluants de l'air,,,true,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,H12,,2004 - en cours,2004,,true,"[{""label_fr"":""Monde"",""label_en"":""World""}]",,,,Monde
Données de modèle Arpège essentielles OMM,,"Champs d'analyse et de prévision en points de grille issus du modèle de prévision atmosphérique français Arpège sur une grille globale à résolution 2°5. Les données sont réactualisées deux fois par jour, et disponibles jusqu'à 4 jours d’échéance de prévision, par pas de 24 h, au niveau de la mer, 850 et 500 hectopascals (environ 1500 et 5500 mètres d'altitude).",,,"[""Virginie Schwartz""]",,Air,,Prévision atmosphérique,,,Facteurs météorologiques/polluants de l'air,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,H12,,en cours,,,true,"[{""label_fr"":""Monde"",""label_en"":""World""}]",,,,Monde
Données de modèle atmosphérique à aire limitée,,"Champs d'analyse et de prévisions en points de grilles, issus du modèle atmosphérique Aladin sur 5 domaines (France métropolitaine, Antilles-Guyane, Rénuion, Polynésie, Nouvelle-Calédonie). Paramètres, niveaux, échéances et domaines paramétrables selon diverses résolutions et échéances jusqu'à H+84h.",,,"[""Virginie Schwartz""]",,Air,,Prévision atmosphérique,,,Facteurs météorologiques/polluants de l'air,,,true,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,H12,,mars 2012 - en cours,2012,,true,"[{""label_fr"":""FXX+GLP+MTQ+GUF+REU+PYF+NCL"",""label_en"":""FXX+GLP+MTQ+GUF+REU+PYF+NCL""}]",,,,FXX+GLP+MTQ+GUF+REU+PYF+NCL
BASOL,,"Sites et sols pollués (ou potentiellement pollués) appelant une action des pouvoirs publics, à titre préventif ou curatif. Identification et localisation du site, caractérisation du site, description du site, situation technique du site et caract􏰁risation de l􏰀impact, utilisation et environnement du site, impacts constat􏰁s, surveillance du site et restriction d􏰀usage, traitements effectués",,,"[""Direction de la prévention des pollutions et des risques""]",,Sols,,Sites et sols pollués,,,Polluants du sol (composés organiques et métaux),,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,1992 - en cours,1992,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Système d'information en Santé-Environnement sur les Eaux,SISE-Eaux,"Descriptif général des installations de captage, production et distribution des eaux ; Descriptif des sites de baignade ; Descriptif des points de surveillance ; Résultats d'analyses du contrôle sanitaire des eaux destinées à la consommation humaine, des eaux minérales, des eaux de baignade et pour certains départements des eaux de piscine",,,"[""DGS""]",,Eau,,Qualité des eaux,,,Polluants de l'eau de boisson,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,false,false,true,,Semestrielle,,1994 - en cours,1994,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Pesticides dans les eaux souterraines,,Des informations sur la contamination des eaux souterraines par les pesticides sont régulièrement diffusées.Elles s'appuient sur l'exploitation des données provenant du réseau de surveillance des nappes souterrainesqui comprend près de 2 200 stations de mesures réparties sur le territoire français (métropole et outremer).,,,"[""MTES""]",,Eau,Pesticides,Pollution des eaux souterraines,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Annuelle,,2007 - 2012,2007,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Produits Biocides,,Base de données de produits biocides déclarés,,,"[""MTES""]",,,Pesticides,Biocides,,,Pesticides/biocides/NDVI/métaux,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,N/A,,,true,"[{""label_fr"":"""",""label_en"":""""}]",,,,
Registre Français des émissions polluantes,IREP,"Ce registre des rejets et des transferts de polluants (RRTP) est un inventaire national :- des substances chimiques et/ou des polluants potentiellement dangereux rejetés dans l'air, l'eau et le sol- de la production et du traitement des déchets dangereux et non dangereuxDéclaration annuelles des déchets et des émissions polluantes dans l'air, l'eau, le sol par les exploitants des installations classées soumises à l'arrêté du 31 janvier 2008 ; Les déclarations portent sur 160 polluants dans l'air et dans l'eau, 130 dans le sol et environ 850 déchets",,,"[""georisques@developpement-durable.gouv.fr""]",,Sols/Eau/Air,,Emissions polluantes et Déchets,,,,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2003 - en cours,2003,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
CORINE Land Cover,CLC,"Inventaire biophysique de l’occupation des sols et de son évolution selon une nomenclature en 44 postes. Cet inventaire est produit par interprétation visuelle d'images satellite. L'échelle de production est le 1/100 000. CLC permet de cartographier des unités homogènes d’occupation des sols d’une surface minimale de 25 ha. Cette base de données a été initiée en 1985. Les millésimes 1990, 2000, 2006, 2012 et 2018 ont été réalisés.",,,"[""http://www.statistiques.developpement-durable.gouv.fr/n ous-contacter.html""]",,,,Occupation des sols,,,Pesticides/biocides/NDVI,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Y6,,"1990, 2000, 2006, 2012, 2018",1990,2018,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
"Analyse, Recherche et Information sur les Accidents",ARIA,,,,"[""barpi@developpement-durable.gouv.fr""]",,Sols/Air/Eau,,Accidentologie,,,Indicateurs socio-démographiques,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Annuelle,,Non renseigné,,,true,"[{""label_fr"":""FRA+SPM+BLM+WLF+PYF+NCL"",""label_en"":""FRA+SPM+BLM+WLF+PYF+NCL""}]",,,,FRA+SPM+BLM+WLF+PYF+NCL
Natura 2000,,"Sites naturels européens, terrestres et marins, identifiés pour la rareté ou la fragilité des espèces sauvages, animales ou végétales, et de leurs habitats.",,,"[""INPN""]",,," Biodiversité",Recensement des sites naturels/ biodiversité ,,,NDVI,,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Régulière,,2007 - en cours,2007,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Plan de gêne sonore,PGS,Visualisation des plans de gêne sonore (PGS) aux abords des aéroports. Les plans de gêne sonore délimitent des zones dans lesquelles les riverains peuvent bénéficier d’une aide à l’insonorisation de leur logement,,,"[""""]",,,Agents Physiques,Bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,false,,,false,true,false,true,,Irrégulière,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Fichier des logements à la commune,FILOCOM,"Le fichier contient à la fois des informations quantitatives et localisées décrivant des logements, mais aussi sur leurs occupants. La présence d'un identifiant logement unique et stable dans le temps permet de reconstituer les parcours des logements",,,"[""SDES""]",,," Indicateurs géographiques et socio-démographiques",Locaux à usage d'habitation,,,Indicateurs socio-démographiques / polluants de l'air intérieur,,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Y2,,"1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2010, 2011, 2013, 2015 et 2017",1995,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
BD Topage,,"La BD TOPAGE® se compose des jeux de données * des cours d'eau, plans d'eau, tronçons hydrographiques, surfaces élémentaires, noeuds hydrographiques (sources et exutoires), limites terre-mer, bassins hydrographiques et bassins versants topographiques (ces trois derniers jeux de données * seront remplacés par des données plus précises à moyen terme).",,,"[""contact.geoservices@ign.fr""]",,Eau,,Référentiel hydrographique français,,,,,,false,false,Licence Ouverte Etalab,Attribution,,,,Référentiel,,,,,true,true,false,true,,Annuelle,,2019,2019,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Zones sensibles - France entière,,"L'article R211-94 du code de l'environnement, transposant dans le droit français l'article 5 et l'annexe II de la directive Eaux Résiduelles Urbaines (91/271/EEC UWWT) définit les zones sensibles comme les masses d'eau particulièrement sensibles aux pollutions, notamment celles dont il est établi qu'elles sont eutrophes ou pourraient devenir eutrophes à brève échéance si des mesures ne sont pas prises, et dans lesquelles les rejets de phosphore, d'azote ou de ces deux substances doivent, s'ils sont cause de ce déséquilibre, être réduits.",,,"[""sandre@sandre.eaufrance.fr""]",,Eau,,Cartographie des masses d'eau sensibles à la pollution,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Irrégulière,,2018,2018,,true,"[{""label_fr"":""FRA+MAF+BLM"",""label_en"":""FRA+MAF+BLM""}]",,,,FRA+MAF+BLM
Zones vulnérables - Métropole,,"Chaque zone vulnérable correspond à un arrêté préfectoral (préfet coordonnateur de bassin) après avis du conseil départemental d’Hygiène, du conseil général et régional et du comité de bassin. Les zones vulnérables sont réexaminées au moins tous les 4 ans. Le périmètre des zones vulnérables est défini par circonscription administrative de bassin selon 2 modalités:1) Limites communales : Il s'étend sur la limite de l'ensemble de communes désignées en zones vulnérables.2) Limites cadastrales (infra-communale): Il s'étend sur les sections cadastrales retenues pour les communes désignées en zones vulnérables.",,,"[""ZoneVuln@oieau.fr""]",,Eau,,Cartographie des zones polluées par l'eau,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Irrégulière,,2020,2020,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Zones vulnérables - Historique,,"Chaque zone vulnérable correspond à un arrêté préfectoral (préfet coordonnateur de bassin) après avis du conseil départemental d’Hygiène, du conseil général et régional et du comité de bassin. Les zones vulnérables sont réexaminées au moins tous les 4 ans. Le périmètre des zones vulnérables est défini par circonscription administrative de bassin selon 2 modalités:1) Limites communales : Il s'étend sur la limite de l'ensemble de communes désignées en zones vulnérables.2) Limites cadastrales (infra-communale): Il s'étend sur les sections cadastrales retenues pour les communes désignées en zones vulnérables.",,,"[""ZoneVuln@oieau.fr""]",,,,Cartographie des zones polluées par l'eau,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Irrégulière,,"2007, 2013, 2015",2007,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Système d'Information sur l'Eau,SIE,,,,"[""""]",,,,,,,,,,false,false,,,,,,Environnement,,,,,false,false,false,false,,,,,,,false,,,,,
REseau national de suivi à long terme des ECOsystèmes FORestiers,RENECOF OR,Observation de la santé du peuplement.  Description pédologique des profils du sol.  Suivi physico-chimique des sols.  Inventaire de la composition floristique.  Suivi phénologique du peuplement .  Suivi de la nutrition minérale des arbres  Suivi des chutes de litière  Suivi des dépôts atmosphériques hors et sous couvert forestier  Suivi de la chimie des solutions du sol  Suivi des concentrations en ozone de l'air et des symptômes associés sur la végétation.,,,"[""ONF""]",,Sols,Biodiversité,Ecosystèmes forestiers ,,,NDVI/pesticides/polluants du sol,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,1992 - en cours,1992,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Eurosun / HelioClim 1,,"Measuring the exposure of individuals and populations in Europe to UV radiation by using the data of meteorological satellites. From the UV database prepared by ARMINES (Prof. L Wald), an atlas of UV irradiation has been developed by averaging daily UVA and UVB irradiations per month and for four 5-year periods (1988-1992; 1993-1997; 1998-2002; 2003-2007) for Europe as a whole and for individual countries in the region, for UVA, UVB and total UV irradiations, at both absolute and relative levels.",,,"[""support-sales at soda-is dot com""]",,Air,,Exposure of individuals and populations in Europe to UV radiation,,,Radiation,,,false,true,,,,,,Environnement,,false,,,true,true,false,true,,Quotidienne,,1985 - 2005,1985,,true,"[{""label_fr"":""EUROPE"",""label_en"":""EUROPE""}]",,,,EUROPE
Pollens et moisissures,Pollen,Concentrations dans l'air des pollens et des moisissures atmosphériques ,,,"[""rnsa@rnsa.fr""]",,Air,,Aérobiologie/Qualité de l’air/ pollens/ moisissures ,,,Polluants de l'air,,,false,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Hebdomadaire,,1987 - en cours,1987,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Exposition à la pollution atmosphérique dans le projet Gazel'Air,Gazel'Air,"Concentration annuelle au PM2,5, PM10, NO2, O3, SO2, benzène, de 1989 à 2008",,,"[""dse-infosan2@santepubliquefrance.fr""]",,Air,,Pollution atmosphérique ambiante,,,Pollution de l'air,,,true,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,1989 - 2008,1989,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Croisement INSEE/DARES (thèse Tim Vlaar),,"""Association des activités professionnelles et de l’exposition aux métaux avec deux maladies neurodégénératives à partir du Système National des Données de Santé""",,,"[""""]",,Air,,Exposition aux métaux et activités professionnelles,,,Exposition professionnelles,,,true,false,Non renseigné,,,,,Santé,,,,,true,true,false,true,,Non renseigné,,Non renseigné,,,true,"[{""label_fr"":"""",""label_en"":""""}]",,,,
Recensement Général Agricole,RGA,"Le Recensement Général Agricole établit des statistiques sur le nombre d’exploitations, les orientations technico-économiques des communes, les surfaces agricoles utilisées, les productions et surfaces concernées, les surfaces toujours en herbe, et les surfaces herbagères principales. Ces données sont donc qualitatives, et communales.",,,"[""Agreste""]",,Sols," Indicateurs géographiques et socio-démographiques",Milieux agricoles,,,Pesticides/NDVI,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Y10,,1970 - 2010,1979,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Utilisation du territoire,,,,,"[""SSP ministère de l'Agriculture""]",,Sols," Indicateurs géographiques et socio-démographiques",Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Non renseigné,,,,,Environnement,,,,,false,true,true,true,,Annuelle,,2000-2020,2000,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
"Orientation, taille, statut et mode de faire-valoir des exploitations",,,,,"[""SSP ministère de l'Agriculture""]",,Sols," Indicateurs géographiques et socio-démographiques",Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Irrégulière,,2016,2016,,true,"[{""label_fr"":""FXX+GUF+MTQ+GLP+REU"",""label_en"":""FXX+GUF+MTQ+GLP+REU""}]",,,,FXX+GUF+MTQ+GLP+REU
