integration_status,organization,data_domain,theme_category,thematic_field,nature,environment,subthematic,exposure_factor_category,dataset_name,acronym,description,filter,search_engine,integration_status,license_name,licence_type,restrictions,downloadable,broadcast_mode,geospatial_data,geographical_geospatial_coverage,administrative_territory_coverage,geographical_information_level,projection_system,related_geographical_information,related_referentials,year_start,year_end,year,temporal_scale,update_frequency,automatic_update,last_updated,format,data_format,metrics_registered_elements,Volume,measurement_data,documentation,missing_data,compliance,pricing,contact,last_inserted,last_modification,comment,related_datasets,other_access_points,link,
false,BRGM,Environnement,Environnement,Sols,,Sols,Pollution / Contamination des sols,"Polluants du sol, polluants de l'air",Installations industrielles,ICPE,"Ce jeu de données correspond aux Installations classées pour la protection de l'environnement (ICPE) soumises à autorisation ou à enregistrement (en construction, en fonctionnement ou en cessation d'activité). La fréquence de mise à jour de ce jeu de données est quotidienne.",true,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France métropolitaine et DROM,Site/ Adresse / Coordonnées xy,RGF93/Lambert93/WGS84,,Nomenclature des installations (disponible au format pdf sur le site AIDA),,,,None,Quotidienne,,2021-01-02T00:03:00.000Z,CSV / Esri Shape,"[""vector"",""texte""]",52 627 installations,"56,8 Mo",false,Site Georisques,,,Gratuit,BRGM,2021-01-02T00:03:00.000Z,2021-01-02T00:03:00.000Z,,Nomenclature des Installations,,https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles,
true,BRGM,Environnement,Environnement,Sols,,Sols,Amiante naturel en affleurements dans les formations géologiques ,Amiante,Cartographie départementale de l'aléa amiante environnemental,,Cartographie de la susceptibilité de présence d'amiante dans les formations susceptibles de renfermer des minéraux amiantifères (avec échantillons à des fins minéralogiques et analytiques). Inventaire complété par l'expertise du potentiel amiantifère d'une cinquantaine de carrières.,false,false,false,Non renseigné,,"Données non diffusées, uniquement visualisable",false,,true,FXX,France métropolitaine,Coordonnées xy / 1:50000,Lambert93/WGS84,false,,2009,,2009 - en cours,Variable,Irrégulière,false,,HTML / PDF,,,,false,Explication et méthodologie disponible sur le site du BRGM,"O, Vosges, Cévennes, Deux-Sèvres, Les Maures",,Gratuit,,,"Données visualisable via cartographie ; Le MTES dispose actuellement de cartographies d’aléa amiante environnemental couvrant différents secteurs de France Métropolitaine : les départements de l’Isère, des Hautes-Alpes, de la Haute-Corse, de la Savoie et de la Loire-Atlantique, ceux couvrant le Massif Armoricain et les Pyrénées, et bientôt six zones couvrant le Massif Central. Durant deux ans (2019 et 2020), le BRGM se consacrera à la finalisation de la cartographie de l’amiante environnemental en France Métropolitaine (Vosges, Cévennes, Deux-Sèvres, Les Maures…).",,,,"https://www.brgm.fr/fr/reference-projet-acheve/cartographie-amiante-environnemental-france-metropolitaine-terrain-au#:~:text=La%20cartographie%20de%20l'amiante,amiante%20provenant%20d'affleurements%20naturels.",
true,BRGM,Environnement,Environnement,Sols,,Sols,Qualité des sols urbains,Polluants du sol (composés organiques et métaux),Base de données sur la qualité des sols urbains,BdSolU,"Principales analyses : arsenic, cuivre, chrome, plomb, zinc, nickel, cadmium, mercure, cyanures totaux, indice phénol, fractions carbonées des hydrocarbures C10 à C40, PCB indicateurs, 7 PCDD et 10 PCDF et métadonnées",false,false,true,Non renseigné,,,true,,true,FXX,France métropolitaine,Site / Commune,,,,2010,,2010 - en cours,None,Irrégulière,false,2019-01-01T00:02:00.000Z,Excel XLSX,"[""texte"",""nombre""]",24773,1 356 Ko,true,Brèves explications disponibles en ligne,,"Localisation des sites de prélèvement ""anonymisée"" (niveau commune uniquement)",Gratuit,bdsolu@brgm.fr,2021-01-08T00:03:00.000Z,2021-01-08T00:03:00.000Z,"Le fichier obtenu peut encore présenter des valeurs élevées au regard de la qualité supposée des lieux de prélèvements. Ces valeurs ont été conservées pour information et doivent être utilisées avec un regard critique. Il est recommandé de compléter les jeux de données fournis afin de mieux caractériser les secteurs concernés et de poursuivre la bancarisation des analyses dans BDSolU. Par ailleurs, ces données brutes n’ont fait l’objet d’aucune vérification sur le terrain ni d’aucune contre-analyse. Pour ces raisons ces données sont donc indicatives de la qualité des sols et sont fournies sans aucune garantie notamment d’exactitude ou de représentativité. Enfin, la localisation des points de prélèvements est volontairement limitée à l’échelle des communes.",IMN / Bases de données GISSOL,,http://www.bdsolu.fr/page/consultation,
true,BRGM,Environnement,Environnement,Eaux,,Eau,Qualité de l'eau,Polluants de l'eau,Point d'eau ADES,,"Chaque point d'eau est doté d'un code national. Il s'agit du code du dossier du point d'eau au sein de la Banque du Sous-Sol (BSS). Il est constitué de la concaténation de l'indice BSS (10 caractères) et de la désignation BSS (6 caractères) séparé par un caractère ""/"". Chaque point d'eau est localisé par ses coordonnées géographiques dans le cadre d'un système de projection et rattaché à la commune sur le territoire de laquelle, il est situé. L'affectation de la commune, altitude , les coordonées géographiques au point d'eau est sous la responsabilité des services géologiques régionaux du BRGM dans le cadre de sa mision de gestion de la BSS. Les informations sur les points d'eau relèvent de la responsabilité des gestionnaires des différentes fonctions du point d'eau.",true,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France metropolitaine et DROM,Coordonnées xy,,false,,,,,None,Irrégulière,false,2020-01-01T00:12:00.000Z,GEOJSON / Esri Shape,,350 000+ points d'eau,,false,,,/,Gratuit,sandre@sandre.eaufrance.fr,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,,BSS,Infoterre | Sandre,https://www.data.gouv.fr/fr/datasets/point-deau-pte/,
false,BRGM,Environnement,Environnement,Sols/Eaux,,Sols/Eau,Géologie,Polluants du sol,Banque du sous-sol,BSS,"La BSS recense les fiches signalétiques de l'ensemble des ouvrages de la BSS (plus de 700.000 ouvrages décrits, associés à plus de 2.000.000 de pages de documents techniques). La Banque de données du Sous-Sol (BSS) contient des informations brutes géologiques et techniques relatives à des ouvrages souterrains : localisation, objet, description géologique, équipement technique des forages. Les informations mises à la disposition du public dans les documents de la Banque du Sous-Sol (BSS), sont communiquées par des tiers dans le cadre des dispositions prévues par le Code Minier (art. 131 à 136).",false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France et DROM,Coordonnées xy,,false,,,,en cours,None,Irrégulière,false,,CSV,"[""texte"",""date"",""chiffres""]",850 000+,,false,Explication disponible sur infoterre,,,Gratuit,bss@brgm.fr,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,"Malgré le soin que le BRGM apporte à la collecte de ces informations, elles ne peuvent donc être considérées comme nécessairement exhaustives ou exactes et le BRGM ne peut être tenu pour responsable des conséquences de ces lacunes ou inexactitudes pour l'usager. Par ailleurs, on voudra bien noter qu’étant donné la grande quantité de documents rendus accessibles, on peut se trouver en présence de documents inappropriés (illisibles, mal positionnés, non strictement techniques, etc...). Dans cette éventualité, l'usager voudra bien nous faire connaître les anomalies qu'il aura rencontrées. L'équipe BSS traitera ces anomalies en priorité.",ADES,Infoterre,http://www.geocatalogue.fr/Detail.do?id=4163,
true,BRGM,Environnement,Environnement,Eaux,,Eau,Eauxs souterraines ,Polluants de l'eau,Banque nationale d'Accès aux Données sur les Eaux Souterraines,ADES,Données quantitatives (niveau des nappes) et qualitatives (concentration de nombreux paramètres) relatives aux eau􏰄 souterraines: 263 r􏰃seau􏰄 d􏰃clar􏰃s contenant 75954 points d􏰁eau comportant 4265 piézomètres et 72975 qualitomètres.,false,false,true,,,,true,,true,FRA,France métropolitaine et DROM,Site,,false,,,,variable  - en cours,D/W,Régulière,,,CSV / Plain text,"[""texte"",""chiffre""]",,,true,,,,Gratuit,ades@brgm.fr,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,Limite géographique localisation des x et y des points de mesure ramenée au centroïde de la commune pour la localisation des points de mesure qui concernent la qualité des eaux.,,,https://ades.eaufrance.fr/Recherche,
true,BRGM,Référentiel,Environnement,Eaux,,Eau,Référentiel hydrogéologique français,,BD Lisa,,"Ce référentiel comporte les jeux de données géographiques suivants :- Entités hydrogéologiques de niveau 3 (local) ;- Polygones élémentaires délimitant chaque pile unique d'entités hydrogéologiques ;- Zones karstiques, zones caractérisées comme étant de milieu karstique ou alimentant des sources karstiques;- Zones altérites meubles, polygones d’extension des zones au sein desquelles la présence de formations géologiques altérées meubles (saprolite) a été mise en évidence ou est supposée.",false,true,,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France métropolitaine et DROM,LatitudeLongitude /1:50000,,false,,,,,None,Annuelle,,2019-01-01T00:01:00.000Z,Esri Shape / SQL / GDB,,,,false,Métadonnées et Dictionnaires,,,Gratuit,sandre@sandre.eaufrance.fr,2021-01-19T00:04:00.000Z,2021-01-19T00:04:00.000Z,,,https://bdlisa.eaufrance.fr/telechargement,https://www.sandre.eaufrance.fr/atlas/srv/fre/catalog.search#/metadata/769f36e0-eb23-4014-ad63-fb468fcd7488,
true,Bruitparif,Environnement,Transports,Agents Physiques,Agents Physiques,,Cartographie du bruit associé aux trafics,Bruit,Cartographie régionale du bruit en Île-de-France,,"Cartographies du bruit associé au trafic routier, au trafic aérien et au trafic ferroviaire selon les indicateurs Lden et Ln, carte des zones de dépassements des valeurs limites réglementaires, ainsi que statistiques associées d’exposition au bruit de la population.",true,false,true,Licence Ouverte Etalab,Attribution,,true,,true,IDF,Région Île-de-France,Maille 5mx5m,,false,,2007,2017,"2007 - 2012, 2017",None,Irrégulière,,2019-01-17T00:06:00.000Z,Esri Shape / HTML,,,,false,Méthodologie,,,Gratuit,demande@bruitparif.fr,2021-01-20T00:04:00.000Z,2021-01-20T00:04:00.000Z,Certains départements de la grande couronne ne sont pas complets,,,https://carto.bruitparif.fr/,
true,Bruitparif,Santé,Santé,Agents Physiques,Agents Physiques,,Niveaux d'exposition aux musiques amplifiées du jeune publique,Bruit,Base de données des pratiques et niveaux d’exposition aux musiques amplifiées du jeune public,Kiwi,"Niveaux et temps d’écoute individuels de musique au casque ou avec des écouteurs, matériel utilisé, autres sources d’exposition (fréquentation de lieux de diffusion de musique amplifiée, pratique musicale, jeux vidéo)",false,false,false,Non renseigné,,BDD dans le cadre de mise en place de convention de partenariat scientifique avec des équipes sanitaires,false,,true,IDF,Région Île-de-France,Etablissement/ Adresse,,false,,2015,,2015 - en cours,None,Non renseigné,,,PDF / XLSX,"[""rapport"",""texte"",""chiffre""]",,,false,,,,Non renseigné,kiwi@bruitparif.fr,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,https://www.bruitparif.fr/pages/Actualites/2016-12-06%20Bruitparif%20re%C3%A7oit%20le%20d%C3%A9cibel%20d'or/Dossier%20de%20pr%C3%A9sentation%20Kiwi.pdf,
true,Bruitparif,Environnement,Environnement,Agents Physiques,Agents Physiques,,Mesures de bruit,Bruit,RUMEUR,,"Données de mesure et indicateurs de bruit (indicateurs énergétiques, indicateurs événementiels, indice grand public Harmonica) issus des stations permanentes de Bruitparif (plus de 50 stations permanentes) ainsi que des campagnes de mesure (plus de 600 mesures de court terme). Le nombre de sites de mesure est en progression constante.Liste des pics de bruit liés à des survols aéronefs sur les stations de mesure du bruit aéroportuaire (avec caractéristiques acoustiques associés)",true,false,true,Non renseigné,,,true,,true,IDF,Région Île-de-France,Site,,false,,2009,,2009 - en cours,H,Non renseigné,,,XLSX / HTML,"[""texte"",""chiffre""]",,,true,,,,Gratuit,demande@bruitparif.fr,2021-01-20T00:04:00.000Z,2021-01-20T00:04:00.000Z,,,,https://rumeur.bruitparif.fr/,
false,Direction générale des douanes et droits indirects,Environnement,Environnement,Sols,,Sols,Parcelles vitivinicoles,Pesticides/biocides,Casier viticole informatisé,CVI,"Le casier viticole informatisé (CVI) est un outil que les États membres de l'Union européenne doivent tenir obligatoirement. Il contient notamment toutes les informations relatives aux entreprises vitivinicoles, aux parcelles plantées ou arrachées, les niveaux de production et de stock.",,false,false,,,Accès restreint car la base contient des données individuelles,false,,true,FRA,France et DROM,Parcelle,,,,1998,,1998 - en cours,None,Non renseigné,,,,,,,false,Pas de documentation,,RGPD (données individuelles),Non renseigné,,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,,,,,
true,Entente Valabre,Référentiel,Environnement,Sols,,Sols,Carroyage,Polluants de l'air/pesticides/NDVI,Carroyage DFCI,,Le carroyage DFCI est un maillage géographique utilisé en France par les acteurs de la Défense des forêts contre les incendies (DFCI).,false,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FXX,France métropolitaine,Maille 2kmx2km,,false,,,,,None,Irrégulière,false,2016-01-01T00:06:00.000Z,Esri Shape,,,,false,Métadonnées,,/,Gratuit,contact-pont@valabre.com,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,,,Géoportail,https://www.data.gouv.fr/fr/datasets/carroyage-dfci-2-km/,
true,MTES| BRGM | INERIS,Environnement,Environnement,Sols/Air,,Sols/Air,Inventaire des dépôts de résidus miniers ,Polluants du sol/polluants de l'air,Base DDIE,DDIE,"Pour les mines dites ""métalliques"" : positionnement des dépôts, analyses chimique et NITON pour les dépôts les plus importants, positionnement des principaux enjeux. Regroupement des dépôts en secteurs. Classement de ces secteurs en fonction de l'impact sanitaire et environnemental potentiel des dépôts qu'ils contiennent. Les contours géographiques sont aussi disponibles pour certains dépôts. Pour les mines de charbon : uniquement positionnement et contourage des dépôts.",false,false,false,Non renseigné,,Convention de mise à disposition des données,false,,true,FXX,France métropolitaine,,,,,2009,2012,2009 - 2012,None,Irrégulière,false,,Exel XLS / MapInfo TAB file,,,,false,,,,Gratuit,GEODERIS,2021-01-09T00:03:00.000Z,2021-01-09T00:03:00.000Z,Inventaire terminé en 2012 mais doit être remis à jour régulièrement , Mise à jour en fonction des nouvelles données acquises dans le cadre d'autres études,MIMAUSA,,
true,GIS SOL,Environnement,Environnement,Sols,,Sols,Qualité des sols,Polluants du sol (composés organiques et métaux),Réseau de Mesures de la Qualité des Sols (RMQS),RMQS,"Suivi de 2200 sites répartis uniformément sur le territoire français (métropole et outre-mer) selon une maille carrée de 16 km de côté ; Analyses physico-chimiques ; Eléments traces ; Occupations du sol ; Pratiques culturales; polluants organiques (HAP, Dioxines, furanes, PCB, pesticides organochlorés) ; analyses biologiques",false,true,,Licence CC0,,Licence ouverte mais accès à l'entiereté de la base sur demande,,,true,FRA,France métropolitaine et DROM,Maille 16kmx16 km,,false,,2001,,2001 - en cours,None,Irrégulière,false,,HTML / Esri Shape,"[""vector"",""pdf""]",2 200 sites,,true,Metadonnées (INRAe) + Fiche explicative téléchargeable au format pdf (Gissol),,Licence CC0,Gratuit, infosol@orleans.inra.fr/Nicolas Saby,2021-01-15T00:02:00.000Z,2021-01-15T00:02:00.000Z,"Quelques jeux de données et cartes sont téléchargeables sur le portail de l'INRA ; Ce jeu de données rassemble le résultats du calcul d'indice de seuils de détection d’anomalies en ETM dans les sols. Ces seuils correspondent à des vibrisses qui ont été calculées à partir des teneurs en éléments traces du RMQS situées dans un rayon de 50 km autour du point considéré, avec un minimum de 10 points pour les horizons 0-30 cm et 30-50 cm.",,INRAe | GIS Sol,https://data.inrae.fr/dataset.xhtml?persistentId=doi:10.15454/UEZXBY,
false,GIS SOL |ADEME | INRAE,Environnement,Environnement,Sols,,Sols,Qualité des sols,Polluants du sol (métaux),Base de Données Eléments Traces Métalliques (BDETM),BDETM,Analyses des teneurs en ETM réglementaires sur les terrains recevant des boues de station d'épuration urbaine. Les statistiques sont calculées sur des sous populations par tranche temporelle de 10 ans.,false,false,,Licence CC-BY-NC-SA,Attribution/ViralEffect-ShareAlike/PublicDomain/NonCommercialUseOnly ,Accès aux statistiques,,,true,FXX,France métropolitaine,Point de mesure / Commune,,,,1990,2010,1990-2010,Y10,Irrégulière,false,2010-01-01T00:01:00.000Z,CSV,,73 400 sites,366 Ko,true,Fiche explicative téléchargeable au format pdf,, Convention de mise à disposition. Restriction de données ponctuelles ,Gratuit,infosol@inra.fr,2021-01-02T00:03:00.000Z,2021-01-02T00:03:00.000Z, il existe d'importante discontinuité spatiale (cf. rapport INERIS),,INRAe | GIS Sol,http://www.gissol.fr/donnees/donnees-de-la-bdetm-2873,
false,GIS SOL|ADEME | INRAE,Environnement,"Agriculture, pêche, sylviculture et alimentation",Sols,,Sols,Qualité agronomique des sols ,Polluants du sol (composés organiques et métaux),Base de données d'analyse des terres (BDAT),BDAT,"Avec la collaboration de laboratoires d’analyses de terre agréés par le ministère chargé de l’Agriculture, le Gis Sol met à disposition des résultats agrégés, issus du traitement des analyses de la BDAT (base de données des analyses de terre), soit plus de 2 millions d’échantillons d’horizons de surface de sols cultivés, prélevés en France entre 1990 et 2014. Ce sont ainsi plus de 26 millions de résultats d’analyses qui sont regroupées dans la base de données.",false,false,,Licence CC-BY-NC-SA,Attribution/ViralEffect-ShareAlike/PublicDomain/NonCommercialUseOnly ,Accès aux statistiques,,,true,FXX,France métropolitaine,Canton,,,,1965,2004,1990-2004-2014,Y5,Irrégulière,false,2014-01-01T00:01:00.000Z,CSV,,,822 Ko,true,Fiche explicative téléchargeable au format pdf,,Restriction de non-diffusion des données ponctuelles,Gratuit,infosol@inra.fr,2021-01-02T00:03:00.000Z,2021-01-02T00:03:00.000Z,L'échelle d'utilisation doit être inférieure au 1/250 000ème (cf. rapport INERIS),,INRAe | GIS Sol,http://www.gissol.fr/donnees/tableaux-de-donnees/donnees-de-la-bdat-3028,
true,GIS SOL| INRAE,Environnement,Environnement,Sols,,Sols,Propriétés physico-chimiques des sols et occupation des terres ,,Base de Données Carbone France,BDCF,Teneur en carbone organique : Profils mesurés et géoréférencés contenant une information sur la teneur en carbone des sols,false,false,false,Non renseigné,,Restriction de non-diffusion des données ponctuelles , Demande d'accès,,true,FXX,France métropolitaine,Point de mesure,,false,,1995,1998,1965-1998,None,Irrégulière,false,,Excel XLSX,,,,true,Aucune disponible en ligne,O,/,Gratuit,infosol@orleans.inra.fr,2021-01-05T00:03:00.000Z,2021-01-05T00:03:00.000Z,"Base incomplète sur certains points, un processus de vérification de normalisation des données est en cours ; La base doit donc être utilisée avec précaution",BDAT,,/,
true,GIS SOL| INRAE,Environnement,Environnement,Sols,,Sols,Connaissance du paysage pédologique ,Polluants du sol (composés organiques et métaux),Base de données géographiques des sols de France,BDGSF,"Type de sol : processus pédologiques responsables de la différenciation des sols, c'est-à-dire la brunification, le lessivage, la podzolisation, l'hydromorphie, etc.",false,true,,Licence Ouverte Etalab,Attribution,Demande d'accès directement sur le portail de l'ESDAC (request form) OU via INRAe,true,,true,FXX,France métropolitaine,UCS/ UTS/ 1:1 000 000,,false,,1995,,1995 -,None,Irrégulière,false,,Esri Shape,,,,true,"O , description des fichiers et des attributs, metadata, guide utilisation",,/,Gratuit,infosol@orleans.inra.fr,2021-01-05T00:03:00.000Z,2021-01-05T00:03:00.000Z,Base s'inscrivant dans la European Soil Database,BDAT/ BDETM/ BDCF / European Soil Database,https://data.inrae.fr/dataset.xhtml?persistentId=doi:10.15454/BPN57S,https://esdac.jrc.ec.europa.eu/resource-type/european-soil-database-soil-properties,
true,GIS SOL| INRAE,Environnement,Environnement,Sols,,Sols,Inventaire et cartographie des sols ,Polluants des sols ,Inventaire de la nature des sols et de leur distribution spatiale,Donesol IGCS,"Le programme IGCS (Inventaire, Gestion et conservation des sols) vise à identifier, définir et localiser les principaux types de sols d'une région ou d'un territoire, et à caractériser leurs propriétés présentant un intérêt pour l'agriculture et pour l'environnement. Les informations produites sont stockées dans la base de données nationale DONESOL.",true,true,,Non renseigné,,Accès aux données au cas par cas.  Convention de mise à disposition.  Restriction de non-diffusion des données ponctuelles ,,,true,FXX,France métropolitaine,Point de mesure / Plage cartographique / Coordonnées xy,Lambert93/WGS84,false,,1992,,1992 - en cours,Y/Y10,,,,HTML / PDF / CSV / MDB,,,,false,,,Déclaration C.N.I.L,Extraction des données facturée aux organismes qui ne participent pas à la production et à la collecte des données. Le tarif d'acquisition du CD-ROM est de 50 € HT,infosol@orleans.inra.fr,2021-01-09T00:03:00.000Z,2021-01-09T00:03:00.000Z,"Uniquement : Landes, Gironde et Loiret disponible en ligne. La production et la collecte des données ne sont pas achevées. Toutes les données de la base ne sont pas labellisées",BDAT/ BDETM/ BDCF / European Soil Database,https://data.inrae.fr/dataverse/igcs,https://dw3.gissol.fr/login,
true,IFREMER,Environnement,Environnement,Eaux,,Eaux,Qualité des eaux littorales ,Polluants de l'eau,Quadrige 2,,"Paramètres physiques, chimiques et biologiques de description de l'environnement du littoral français, Plus de 1500 paramètres en base en 2018. Paramètres suivis : Contaminants chimiquesHydrologiePhytoplanctonBenthos de substrats meublesBenthos de substrat dur - CorailBenthos de substrat dur - Poisson",true,false,true,Non renseigné,,,true,Portail/API,true,FRA,France métropolitaine et DROM,Site,,false,,1974,,1974 - en cours,Variable,Régulière,,,CSV / HTML,"[""texte"",""chiffre"",""cartographie""]",,,true,,,,Gratuit,Ifremer,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,,,,https://quadrige.eaufrance.fr/Acces-aux-donnees/Surval/Donnees-par-parametre#/map,
true,IGN,Environnement,Environnement,Sols,,Sols,Occupation des sols,Polluants du sol/pesticides,Occupation du sol à grande échelle,OCS GE,"Visualisation des zones de prairie, taux d’imperméabilité du sol, en France métropolitaine et dans les départements et régions d’outre-mer (DROM). Version de 2015 et de résolution 20 mètres.",true,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France métropolitaine et DROM,Coordonnées xy,Lambert93/UTM,false,,,,,None,Irrégulière,false,2019-01-01T00:11:00.000Z,Esri Shape,,/,/,false,Metadonnées et explications,O,/,Gratuit,contact.geoservices@ign.fr,2021-01-22T00:03:00.000Z,2021-01-22T00:03:00.000Z,"Pas encore de couverture France entière : Ardèche, Communauté d'agglomération du Niortais, Corse, Martinique, Morbihan, Occitanie, Pays de la Loire",BD ORTHO/ RPG,Géoportail,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#ocs-ge,
true,IGN,Environnement,Environnement,Sols,,Sols,Occupation des sols,Polluants du sol,Cartes des sols métropolitains,,Représentation des différents types de sols dominants en France métropolitaine.,true,true,false,Licence Ouverte Etalab,Attribution,"Données non diffusées, uniquement visualisable",false,,true,FXX,France métropolitaine,UCS/ UTS/ 1:1 000 000,,false,,,,,None,Irrégulière,false,2020-01-01T00:02:00.000Z,HTML,,/,/,false,,,/,Gratuit,GIS Sol / RMT,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,,,,https://www.geoportail.gouv.fr/donnees/carte-des-sols,
true,IGN,Environnement,"Agriculture, pêche, sylviculture et alimentation",Sols,,Sols,Délimitations des parcelles viticoles,Pesticides/biocide/NDVI,Délimitations parcellaires AOC viticoles (INAO),,Représentation des délimitations parcellaires des appellations d’origine contrôlée (AOC) viticoles sur la France métropolitaine.,false,true,true,Licence Ouverte Etalab,Attribution,,true,,true,FXX,France métropolitaine,Commune / Parcelles,,false,,,,,None,Irrégulière,false,2020-01-01T00:12:00.000Z,Esri Shape,,/,215Mo,false,Spécifications de la base de données,O,/,Gratuit,inao-bddc@inao.gouv.fr,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,"A noter : pour le moment, ces données sont en version « bêta » pour permettre aux utilisateurs de faire remonter les anomalies rencontrées et à l’INAO de compléter les données sur les territoires qui ne sont pas encore vectorisés et sur les autres productions que le vin.",,Géoportail,https://www.data.gouv.fr/fr/datasets/delimitation-parcellaire-des-aoc-viticoles-de-linao/,
true,IGN,Référentiel,Régions et villes,Sols,,Sols,Adresses,Indicateurs socio-démographiques,Adresses,,Localisation des adresses sur tout le territoire national.,false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France et DROM,LatitudeLongitude,Lambert93/UTM,false,,,,,None,Irrégulière,false,,Esri Shape,,,,false,Métadonnées,,/,Gratuit,sav.bd@ign.fr,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,,,,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#adresse-premium,
true,IGN,Référentiel,Régions et villes,Sols,,Sols,Contours géométriques des IRIS,Indicateurs socio-démographiques,Contours IRIS,,Contours géométriques des zones définies par l’INSEE pour les besoins des recensements sur l’ensemble des communes de plus de 10 000 habitants et la plupart des communes de 5 000 à 10 000 habitants.,false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France et DROM,LatitudeLongitude,Lambert93/UTM,false,,2014,2020,2014 - 2020,None,Annuelle,,2020-01-01T00:01:00.000Z,Esri Shape,,,,false,Métadonnées,,/,Gratuit,sav.bd@ign.fr,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,,,,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#contoursiris,
true,IGN,Référentiel,Régions et villes,Sols,,Sols,Limites administratives,Indicateurs socio-démographiques,Limites administratives,ADMIN EXPRESS,"Limites administratives des collectivités territoriales, mises à jour en continu.Régions, départements, cantons, communes, arrondissements (pour Paris, Lyon et Marseille) et établissements publics de coopération intercommunale (EPCI).",false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA,France et DROM,LatitudeLongitude,Lambert93/WGS84/UTM,false,,2017,,2017 - en cours,None,Mensuelle,true,2021-01-01T00:02:00.000Z,Esri Shape,,/,"50,3Mo",false,,,/,Gratuit,sav.bd@ign.fr,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,,,Géoportail | DataGouv,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#admin-express,
true,IGN,Environnement,Régions et villes,Sols,,Sols,Fond cartographique,Indicateurs socio-démographiques,Carte IGN,BD Carto,Fond cartographique proposé par l’Institut national de l’information géographique et forestière (IGN).,false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA+MAF+BLM,"France et DROM, Saint-Martin , Saint-Barthélémy",LatitudeLongitude,Lambert93/UTM,false,,,,Non renseigné,None,Irrégulière,false,2020-01-01T00:10:00.000Z,Esri Shape,,,,false,Descriptif de contenu (pdf),,/,Gratuit,sav.bd@ign.fr,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,,,Géoportail,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#bd-carto,
true,IGN,Environnement,Régions et villes,Sols,,Sols,Carte des reliefs,Indicateurs socio-démographiques,Carte topographique IGN,BD Topo,"La carte topographique représente avec précision le relief, symbolisé par des courbes de niveaux, ainsi que les détails du terrain : routes, sentiers, constructions, bois, arbres isolé, rivières, sources…",false,false,true,Licence Ouverte Etalab,Attribution,,true,,true,FRA+MAF+BLM+SPM,"France et DROM, Saint-Martin, Saint-Barthélémy, Saint-Pierre-et-Miquelon",LatitudeLongitude,Lambert93/WGS84/UTM,false,,,,Non renseigné,None,Irrégulière,false,2021-01-01T00:10:00.000Z,Esri Shape,,,,false,Descriptif de contenu (pdf),,/,Gratuit,sav.bd@ign.fr,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,,,Géoportail | DataGouv,https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#bd-topo,
false,IGN,Environnement,Transports,Agents Physiques,Agents Physiques,,Bruit,Bruit,Plan d’exposition au bruit,PEB,Le PEB est un document graphique à l’échelle du 1/25000ème qui délimite quatre zones de gêne quantifiée par l’indice Level day evening night (Lden).,,true,false,Non renseigné,,Données visualisables uniquement,false,,true,FXX,France métropolitaine,1:25000,,false,,,,,None,Irrégulière,false,2020-01-01T00:01:00.000Z,HTML / PDF,,/,/,false,,,,Gratuit,,2021-01-01T00:04:00.000Z,2021-01-01T00:04:00.000Z,Données non diffusées sur la France entière mais disponibles sur le site des départements/régions,,,https://www.geoportail.gouv.fr/donnees/plan-dexposition-au-bruit-peb,
false,IGN,,,,,,,Pesticides/biocides/NDVI,BD Ortho,,,,,,,,,,,,,,,,,,,,,Non renseigné,,,,,,,,,,,,Gratuit,,,,,,,,
