acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,data_format,dataset_type,description,downloadable,environment,exposure_factor,exposure_factor_category,geographical_geospatial_coverage,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_restrictions,has_search_engine,is_geospatial_data,is_opendata,license_name,license_type,link,measurement_data,name,nature,organizations,other_access_points,projection_system,related_datasets,related_geographical_information,related_referential,state,subthematic,temporal_scale,theme_category,update_frequency,volume,year,year_end,year_start
,"[""France et DROM""]",true,"[""Portail""]",BRGM,"[""email""]",Environnement,"[""csv""]",dataset,Cartographie de la susceptibilité de présence d'amiante dans les formations susceptibles de renfermer des minéraux amiantifères (avec échantillons à des fins minéralogiques et analytiques). Inventaire complété par l'expertise du potentiel amiantifère d'une cinquantaine de carrières.,true,"[""Sols""]","[""""]","[""amiante""]","[""FRA""]",coordonnées x/y  1/50 000,true,true,true,true,true,true,true,true,,Non renseigné,"[""""]","https://www.brgm.fr/fr/reference-projet-acheve/cartographie-amiante-environnemental-france-metropolitaine-terrain-au#:~:text=La%20cartographie%20de%20l'amiante,amiante%20provenant%20d'affleurements%20naturels.",true,Cartographie départementale de l'aléa amiante environnemental,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""Infoterre""]","[""Lambert 93"",""WGS84""]",[],true,,true,Amiante naturel en affleurements dans les formations géologiques ,variable selon la révision des données cartographiques,Environnement,irrégulière,,"[""2009 - en cours""]",,2009
,"[""France métropolitaine et DROM""]",true,"[""Portail""]",IRSN,"[""email""]",Environnement,"[""csv"",""pdf"",""html""]",dataset,Cartographie des zones sur lesquelles la présence de radon à des concentrations élevées dans les bâtiments est la plus probable.,true,"[""""]","[""""]","[""radioactivité""]","[""FRA""]",1/1 000 000|  Commune,false,false,true,false,true,false,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/connaitre-le-potentiel-radon-de-ma-commune/#_,true,Cartographie du potentiel radon des formations géologiques,Agents Physiques,"[{""name_en"":""IRSN"",""name_fr"":""IRSN"",""id"":""618828fd32132fc0e1c3b666""},{""name_en"":""ASN"",""name_fr"":""ASN"",""id"":""618828fd32132fc0e1c3b662""}]","[""Portail de l'IRSN""]","[""""]",[],false,,true,Radon émis par les formations géologiques,variable,Environnement,irrégulière,,"[""2008 - en cours""]",,2008
,"[""France métropolitaine""]",false,"[""Portail""]",demande@bruitparif.fr,"[""email""]",Environnement,"[""xlsx""]",dataset,"Cartographies du bruit associé au trafic routier, au trafic aérien et au trafic ferroviaire selon les indicateurs Lden et Ln, carte des zones de dépassements des valeurs limites réglementaires, ainsi que statistiques associées d’exposition au bruit de la population.",true,"[""""]","[""""]","[""bruit""]","[""FRA""]",maille 5mx5m,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://carto.bruitparif.fr/,true,Cartographie régionale du bruit en Île-de-France,Agents Physiques,"[{""name_en"":""Bruitparif"",""name_fr"":""Bruitparif"",""id"":""618828fd32132fc0e1c3b65c""}]","[""""]","[""""]",[],true,,true,Cartographie du bruit associé aux trafics,N/A,Transports,Irrègulière,,"[""2007 - 2012"",""2017""]",2017,2007
CVI,"[""France métropolitaine et DROM (hors Mayotte)""]",false,"[""Portail""]",,"[""email""]",Environnement,"[""esri shape""]",dataset,"Le casier viticole informatisé (CVI) est un outil que les États membres de l'Union européenne doivent tenir obligatoirement. Il contient notamment toutes les informations relatives aux entreprises vitivinicoles, aux parcelles plantées ou arrachées, les niveaux de production et de stock.",true,"[""Sols""]","[""phénols"",""organochlorés"",""organophosphorés"",""autres composés organiques"",""métauxndvi"",""...""]","[""pesticides"",""biocides""]","[""FXX+GLP+MTQ+GUF+REU""]",Parcelle,true,true,false,false,false,true,true,true,,,"[""""]",,true,Casier viticole informatisé,,"[{""name_en"":""Direction générale des douanes et droits indirects"",""name_fr"":""Direction générale des douanes et droits indirects"",""id"":""618828fd32132fc0e1c3b65d""}]","[""""]","[""""]",[],false,,true,Parcelles vitivinicoles,N/A,Environnement,Non renseigné,,"[""1998 - en cours""]",,1998
CIBLEX,"[""France métropolitaine et DROM (hors Mayotte)""]",true,"[""Portail""]",ADEME,"[""email""]",Environnement,"[""csv"",""plain text""]",dataset,"Compile les paramètres descriptifs de la population française (âge, sexe, budget espace-temps et consommation alimentaire...) en fonction de l'occupation des sols (zone continentale, surface en eaux…) et de l'usage type (résidentiel, professionnel, récréatif...)",true,"[""Sols""]","[""btex"",""cyanures"",""hydrocarbures"",""hydrocarbures chlorés"",""hap"",""métaux""]","[""indicateurs socio-démographiques""]","[""FXX+GLP+MTQ+GUF+REU""]",Département,false,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.irsn.fr/EN/Research/publications-documentation/Publications/DRPH/SAER/Pages/La-banque-de-donnees-CIBLEX-une-compilation-de-parametres-d-exposition-de-la-population-francaise-au-1522.aspx,true,Ciblex,Indicateurs géographiques et socio-démographiques,"[{""name_en"":""ADEME"",""name_fr"":""ADEME"",""id"":""618828fd32132fc0e1c3b652""}]","[""""]","[""""]",[],false,,true,Paramètres descriptifs de la population française,,Population et société,aucune,,"[""2003 -""]",,2003
CIPA,"[""France métropolitaine et DROM""]",true,"[""API"",""Portail""]",index-matphyto@univ-lyon1.fr,"[""email""]",Environnement,"[""csv"",""esri shape""]",dataset,,true,"[""""]","[""""]","[""pesticides"",""biocides""]","[""FRA""]",,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",http://matphyto.acta-informatique.fr/Accueil,false,Compilation des Index Phytosanitaires Acta,Pesticides,"[{""name_en"":""DGAL"",""name_fr"":""DGAL"",""id"":""618828fd32132fc0e1c3b653""}]","[""""]","[""""]",[],false,,true,Index des substances phytosanitaires,,Environnement,Non renseigné,,"[""depuis 1961""]",,1961
OSUR,"[""France métropolitaine""]",false,"[""Portail""]",stations_OSUR@eau-loire-bretagne.fr,"[""email""]",Environnement,"[""html"",""pdf""]",dataset,"Analyse physico-chimiques et conditions environnementales de la qualité des eaux de surface, liste faunistique ou floristique, opération de prélèvement biologique, réseau de mesure, station de mesure, zone de faciès, taxon indices biologiques",true,"[""Eau""]","[""amiante""]","[""polluants de l'eau""]","[""FXX""]",Station de mesure,false,false,true,false,true,true,true,true,,Licence Ouverte,"[""Attribution""]",http://osur.eau-loire-bretagne.fr/exportosur/action/Geographie,true,Connaissance et qualité des eaux de surface,,"[{""name_en"":""Agence de l'eau Loire-Bretagne"",""name_fr"":""Agence de l'eau Loire-Bretagne"",""id"":""618828fd32132fc0e1c3b655""}]","[""""]","[""""]",[],false,,true,Qualité des eaux de surface / Connaissance milieux,,Environnement,Non renseigné,,"[""1971 - en cours""]",,1971
,"[""France métropolitaine""]",false,"[""Portail""]",sav.bd@ign.fr,"[""email""]",Référentiel,"[""excel xlsx""]",dataset,Contours géométriques des zones définies par l’INSEE pour les besoins des recensements sur l’ensemble des communes de plus de 10 000 habitants et la plupart des communes de 5 000 à 10 000 habitants.,true,"[""Sols""]","[""métaux"",""pc"",""phénols"",""hap""]","[""indicateurs socio-démographiques""]","[""FXX""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#contoursiris,true,Contours IRIS,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""""]","[""Lambert 93"",""UTM""]",[],true,,true,Contours géométriques des IRIS,N/A,Régions et villes,Annuelle,,"[""2014 - 2020""]",2020,2014
CLC,"[""France metropolitaine et DROM""]",true,"[""Portail""]",http://www.statistiques.developpement-durable.gouv.fr/nous-contacter.html,"[""email""]",Environnement,"[""geojson"",""esri shape""]",dataset,"Inventaire biophysique de l’occupation des sols et de son évolution selon une nomenclature en 44 postes. Cet inventaire est produit par interprétation visuelle d'images satellite. L'échelle de production est le 1/100 000. CLC permet de cartographier des unités homogènes d’occupation des sols d’une surface minimale de 25 ha. Cette base de données a été initiée en 1985. Les millésimes 1990, 2000, 2006, 2012 et 2018 ont été réalisés.",true,"[""""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""FRA""]",25 hectares au plus précis|  échelle 1/100000,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.statistiques.developpement-durable.gouv.fr/corine-land-cover-0,true,CORINE Land Cover,,"[{""name_en"":""SDES / MTES"",""name_fr"":""SDES / MTES"",""id"":""618828fd32132fc0e1c3b66a""}]","[""DataGouv / Géoportail (uniquement visualisable et carte pdf téléchargeable)""]","[""""]",[],true,,true,Occupation des sols,N/A,Environnement,Tous les 6 ans environ,918 Mo,"[""1990"",""2000"",""2006"",""2012"",""2018""]",,1990
,"[""France metropolitaine et DROM""]",true,"[""Portail""]",Atlasanté,"[""email""]",Environnement,"[""csv""]",dataset,Couches géographiques des secteurs appartenant à une même UDI par région et par année,true,"[""""]","[""""]","[""polluants de l'eau""]","[""FRA""]",Région/commune,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.atlasante.fr/geonetwork/srv/fre/catalog.search#/home,false,Couches géographiques des secteurs,Indicateurs géographiques et socio-démographiques,[],"[""""]","[""""]",[],true,,true,Qualité de l'eau,,Environnement,Annuelle,,"[""2015-2020""]",,2015
,"[""France métropolitaine"",""DROM""]",false,"[""Portail""]",,"[""email""]",Santé,"[""csv"",""plain text""]",dataset,"""Association des activités professionnelles et de l’exposition aux métaux avec deux maladies neurodégénératives à partir du Système National des Données de Santé""",true,"[""Air""]","[""""]","[""exposition professionnelles""]","[""FRA""]",Non renseigné,false,true,true,false,false,true,true,true,,Non renseigné,"[""""]",,true,Croisement INSEE/DARES (thèse Tim Vlaar),,"[{""name_en"":""Sante publique France"",""name_fr"":""Sante publique France"",""id"":""618828fd32132fc0e1c3b672""}]","[""""]","[""""]",[],true,,true,Exposition aux métaux et activités professionnelles,Non renseigné,Santé,Non renseigné,,"[""Non renseigné""]",,
,"[""France métropolitaine"",""DROM""]",true,"[""Portail""]",SSP ministère de l'Agriculture,"[""email""]",Environnement,"[""esri shape"",""sql"",""gdb""]",dataset,Ensemble des exploitationsPetites exploitationsMoyennes et grandes exploitationsMoyennes exploitationsGrandes exploitations,true,"[""Sols""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""FRA""]",Département|  Canton,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/RA_3013/detail/,true,Cultures par canton,Indicateurs géographiques et socio-démographiques,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Toutes les décennies,"16,2Mo","[""2000 et 2010""]",,2000
,"[""Région Île-de-France""]",true,"[""Portail""]",SSP ministère de l'Agriculture,"[""email""]",Environnement,"[""esri shape"",""html""]",dataset,Exploitations en ayantSuperficie correspondante (hectares),true,"[""""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""IDF""]",Région|  Département|  Commune,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/G_1013/detail/,true,Cultures par commune,,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""https://www.data.gouv.fr/fr/datasets/agreste-donnees-communales-resultats-des-recensements-agricoles-par-commune/ (DataGouv)""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Toutes les décennies,"99,2Mo","[""1970"",""1979"",""1988"",""2000"",""2010""]",,1970
,"[""Région Île-de-France""]",true,"[""Process""]",SSP ministère de l'Agriculture,"[""email""]",Environnement,"[""pdf"",""xlsx""]",dataset,Exploitations en ayantSuperficie correspondante (hectares),true,"[""""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""IDF""]",Parc nationaux,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/G_7313/detail/,true,Cultures par parcs nationaux et parcs régionaux,,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Toutes les décennies,"722,4Ko","[""2000"",""2010""]",,2000
,"[""Région Île-de-France""]",true,"[""Portail""]",inao-bddc@inao.gouv.fr,"[""email""]",Environnement,"[""xlsx"",""html""]",dataset,Représentation des délimitations parcellaires des appellations d’origine contrôlée (AOC) viticoles sur la France métropolitaine.,true,"[""Sols""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""IDF""]",Commune / Parcelles,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/delimitation-parcellaire-des-aoc-viticoles-de-linao/,true,Délimitations parcellaires AOC viticoles (INAO),,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""Géoportail""]","[""""]",[],true,,true,Délimitations des parcelles viticoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Irrègulière,215Mo,"[""""]",,
,"[""France et DROM""]",true,"[""Process""]",Virginie Schwartz,"[""email""]",Environnement,"[""""]",dataset,"Champs d'analyse et de prévision en points de grille issus du modèle de prévision atmosphérique français Arpège sur une grille globale à résolution 2°5. Les données sont réactualisées deux fois par jour, et disponibles jusqu'à 4 jours d’échéance de prévision, par pas de 24 h, au niveau de la mer, 850 et 500 hectopascals (environ 1500 et 5500 mètres d'altitude).",true,"[""Air""]","[""""]","[""facteurs météorologiques"",""polluants de l'air""]","[""FRA""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=201&id_rubrique=42,true,Données de modèle Arpège essentielles OMM,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],true,,true,Prévision atmosphérique,Journalier,Environnement,12h,,"[""en cours""]",,
,"[""France métropolitaine""]",true,"[""Portail""]",Virginie Schwartz,"[""email""]",Environnement,"[""esri shape""]",dataset,"Champs d'analyse et de prévisions en points de grilles, issus du modèle atmosphérique Aladin sur 5 domaines (France métropolitaine, Antilles-Guyane, Rénuion, Polynésie, Nouvelle-Calédonie). Paramètres, niveaux, échéances et domaines paramétrables selon diverses résolutions et échéances jusqu'à H+84h.",true,"[""Air""]","[""""]","[""facteurs météorologiques"",""polluants de l'air""]","[""FXX""]",Latitude/Longitude,true,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=238&id_rubrique=42,true,Données de modèle atmosphérique à aire limitée,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],true,,true,Prévision atmosphérique,H| H3,Environnement,12h,,"[""mars 2012 - en cours""]",,2012
,"[""France métropolitaine""]",true,"[""Process""]",Virginie Schwartz,"[""email""]",Environnement,"[""exel xls"",""mapinfo tab file""]",dataset,"Champs de prévision en points de grille régulière sur différents domaines géographiques issus du modèle de prévision atmosphérique global français Arpege. Données probabilistes constituées de l'ensemble des 35 runs de prévision déterministe à courte échéance. Paramètres, niveaux, échéances et sous-domaines paramétrables selon diverses résolutions et échéances jusqu'à H+108 h maximum par pas de 3 ou 6 h selon le domaine géographique",true,"[""Air""]","[""métaux""]","[""facteurs météorologiques"",""polluants de l'air""]","[""FXX""]",Latitude/Longitude,true,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=199&id_rubrique=42,false,Données de modèle de prévision d'ensemble ARPEGE,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],true,,true,Prévision atmosphérique,3h ou 6h,Environnement,12h,,"[""2004 - en cours""]",,2004
,"[""France métropolitaine"",""DROM""]",false,"[""Portail"",""Process""]",informatique@airparif.fr,"[""email""]",Environnement,"[""html"",""esri shape""]",dataset,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,true,"[""Air""]","[""m""]","[""polluants de l'air""]","[""FRA""]",Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/donn%C3%A9es-hap-ham-et-m%C3%A9taux-de-2016-%C3%A0-2019,true,Données HAP HAM et métaux de 2016 à 2019,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Annuelle,32Ko,"[""2016 - 2019""]",2019,2016
,"[""France métropolitaine""]",true,"[""Portail"",""Process""]",Virginie Schwartz,"[""email""]",Environnement,"[""csv""]",dataset,"Données climatologiques de toutes les stations françaises depuis leur ouverture, pour tous les paramètres disponibles. Ces données ont subi un contrôle climatologique. L'accès à toute la profondeur de la base de données est possible, avec une très vaste gamme de paramétrisation.",true,"[""Air""]","[""metaux""]","[""facteurs météorologiques""]","[""FXX""]",Station de mesure,true,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=110&id_rubrique=37#,true,Données horaires,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],true,,true,Climatologie,Heure,Environnement,Temps réel,,"[""en cours""]",,
,"[""France métropolitaine""]",true,"[""Portail"",""Process""]",Virginie Schwartz,"[""email""]",Environnement,"[""csv""]",dataset,"Données d'observations issues des messages en code synoptique international d’observation en surface (SYNOP) circulant sur le système mondial de télécommunication (SMT) de l’Organisation météorologique mondiale (OMM). Paramètres atmosphériques mesurés (température, humidité, direction et force du vent, pression atmosphérique, hauteur de précipitations) ou observés  (temps sensible, description des nuages, visibilité) depuis la surface terrestre. Selon instrumentation et spécificités locales, d'autres paramètres peuvent être disponibles (hauteur de neige, état du sol, etc.)",true,"[""Air""]","[""""]","[""facteurs météorologiques"",""polluants de l'air""]","[""FXX""]",Station de mesure,true,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=91&id_rubrique=32,true,Données SYNOP,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],false,,true,Météorologie,Heure,Environnement,Temps réel,,"[""en cours""]",,
,"[""France métropolitaine""]",false,"[""Process""]",informatique@airparif.fr,"[""email""]",Environnement,"[""excel xlsx""]",dataset,Emissions pour tous les secteurs d’activité confondus.,true,"[""Air""]","[""carbone organique""]","[""polluants de l'air""]","[""FXX""]",Département,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-departement-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,emi idf departement 2015,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2015""]",,2015
,"[""France métropolitaine""]",false,"[""Portail"",""Process""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,Emissions pour tous les secteurs d’activité confondus.,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",EPCI,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-epci-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,emi idf epci 2015,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2015""]",,2015
,"[""France métropolitaine""]",false,"[""Portail"",""API""]",informatique@airparif.fr,"[""email""]",Environnement,"[""html"",""pdf"",""csv"",""mdb""]",dataset,Emissions pour tous les secteurs d’activité confondus.,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-region-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,emi idf region 2015,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2015""]",,2015
EAT2,"[""France métropolitaine et DROM""]",false,"[""Portail"",""API""]",ANSES,"[""email""]",Santé,"[""csv"",""html""]",dataset,"Teneur moyenne en divers contaminants chimiques dans les aliments ""tels que consommés"" (445 substances)",true,"[""""]","[""""]","[""polluants de l'alimentation""]","[""FRA""]",Région,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/donnees-regionales-eat2-etude-de-l-alimentation-totale/,true,Etude de l'Alimentation Totale 2 (EAT),Pesticides,"[{""name_en"":""ANSES"",""name_fr"":""ANSES"",""id"":""618828fd32132fc0e1c3b659""}]","[""""]","[""""]",[],false,,true,Contaminants chimiques dans l'alimentation,,Santé,Irrégulière,3Mo,"[""2007 - 2009""]",2009,2007
,"[""France métropolitaine et DROM""]",true,"[""Portail""]",support-sales at soda-is dot com,"[""email""]",Environnement,"[""esri shape""]",dataset,"Measuring the exposure of individuals and populations in Europe to UV radiation by using the data of meteorological satellites. From the UV database prepared by ARMINES (Prof. L Wald), an atlas of UV irradiation has been developed by averaging daily UVA and UVB irradiations per month and for four 5-year periods (1988-1992; 1993-1997; 1998-2002; 2003-2007) for Europe as a whole and for individual countries in the region, for UVA, UVB and total UV irradiations, at both absolute and relative levels.",true,"[""Air""]","[""""]","[""radiation""]","[""FRA""]",coordonnées x/y,false,false,true,false,true,true,true,true,,,"[""""]",http://www.soda-pro.com/web-services/spectral/uv-from-helioclim-1,true,Eurosun / HelioClim 1,,"[{""name_en"":""Public Health Executive Agency"",""name_fr"":""Public Health Executive Agency"",""id"":""618828fd32132fc0e1c3b670""}]","[""""]","[""""]",[],true,,true,Exposure of individuals and populations in Europe to UV radiation,Journalier,Santé,Quotidienne,,"[""1985 - 2005""]",,1985
,"[""France métropolitaine""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""html""]",dataset,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-no2-moyennne-annuelle-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,exp idf idf 2017 no2 moyennne annuelle,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
,"[""France métropolitaine""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Ile-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-35j-sup-50ug?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,exp idf idf 2017 pm10 35j sup 50ug,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
,"[""France et DROM""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-moyenne-annuelle-40-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,true,exp idf idf 2017 pm10 moyenne annuelle 40,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
,"[""France et DROM""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-no2-moyennne-annuelle-1/data?geometry=0.346%2C48.509%2C4.301%2C49.142,true,exp idf zag 2017 no2 moyennne annuelle,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
